identity/LineItemId,bill/BillType,lineItem/UsageAccountId,lineItem/ResourceId,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/UsageAmount,lineItem/UnblendedCost,product/servicecode,product/outputTokens,product/invocationCount,resourceTags/user:UserId
li-014,Anniversary,222222222222,arn:aws:bedrock:us-west-2:222222222222:model/amazon.titan-text-express,2026-03-02T01:00:00Z,2026-03-02T02:00:00Z,2200,0.0035,AmazonBedrock,1100,3,user-carol
li-015,Anniversary,333333333333,arn:aws:bedrock:eu-west-1:333333333333:model/anthropic.claude-3-sonnet,2026-03-02T02:00:00Z,2026-03-02T03:00:00Z,5500,0.0165,AmazonBedrock,2800,4,user-dave
li-016,Anniversary,333333333333,arn:aws:bedrock:eu-west-1:333333333333:model/meta.llama3-70b-instruct,2026-03-02T03:00:00Z,2026-03-02T04:00:00Z,12000,0.018,AmazonBedrock,6000,8,user-eve
li-017,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/anthropic.claude-3-sonnet,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,7000,0.021,AmazonBedrock,3500,5,user-frank
li-018,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/anthropic.claude-3-haiku,2026-03-01T01:00:00Z,2026-03-01T02:00:00Z,25000,0.0075,AmazonBedrock,12500,15,user-frank
li-019,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/amazon.titan-embed-text,2026-03-01T02:00:00Z,2026-03-01T03:00:00Z,50000,0.005,AmazonBedrock,0,10,user-frank
li-020,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/anthropic.claude-3-sonnet,2026-03-02T00:00:00Z,2026-03-02T01:00:00Z,9000,0.027,AmazonBedrock,4500,7,user-grace
li-021,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/anthropic.claude-3-opus,2026-03-02T01:00:00Z,2026-03-02T02:00:00Z,4000,0.06,AmazonBedrock,2000,3,user-grace
li-022,Anniversary,555555555555,arn:aws:bedrock:ap-southeast-1:555555555555:model/anthropic.claude-3-sonnet,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,1800,0.0054,AmazonBedrock,900,2,user-hiro
li-023,Anniversary,555555555555,arn:aws:bedrock:ap-southeast-1:555555555555:model/anthropic.claude-3-haiku,2026-03-01T01:00:00Z,2026-03-01T02:00:00Z,15000,0.0045,AmazonBedrock,7500,10,user-hiro
li-024,Anniversary,555555555555,arn:aws:bedrock:ap-southeast-1:555555555555:model/meta.llama3-70b-instruct,2026-03-01T02:00:00Z,2026-03-01T03:00:00Z,20000,0.03,AmazonBedrock,10000,12,user-hiro
li-025,Anniversary,555555555555,arn:aws:sagemaker:ap-southeast-1:555555555555:endpoint/genai-finetuned-model,2026-03-02T00:00:00Z,2026-03-02T01:00:00Z,3000,0.025,AmazonSageMaker,0,1,user-hiro
li-026,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/amazon.titan-text-express,2026-03-02T04:00:00Z,2026-03-02T05:00:00Z,900,0.0014,AmazonBedrock,450,2,user-bob
li-027,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-haiku,2026-03-02T05:00:00Z,2026-03-02T06:00:00Z,18000,0.0054,AmazonBedrock,9000,12,user-alice
li-028,Anniversary,222222222222,arn:aws:bedrock:us-west-2:222222222222:model/anthropic.claude-3-sonnet,2026-03-02T02:00:00Z,2026-03-02T03:00:00Z,4500,0.0135,AmazonBedrock,2200,3,user-bob
li-029,Anniversary,333333333333,arn:aws:bedrock:eu-west-1:333333333333:model/anthropic.claude-3-haiku,2026-03-02T04:00:00Z,2026-03-02T05:00:00Z,30000,0.009,AmazonBedrock,15000,20,user-eve
li-030,Anniversary,111111111111,arn:aws:s3:us-east-1:111111111111:bucket/my-data,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,1000,0.023,AmazonS3,0,0,user-alice
li-031,Anniversary,222222222222,arn:aws:bedrock:us-west-2:222222222222:model/stability.stable-diffusion-xl,2026-03-02T03:00:00Z,2026-03-02T04:00:00Z,5,0.05,AmazonBedrock,5,5,user-carol
li-032,Anniversary,333333333333,arn:aws:bedrock:eu-west-1:333333333333:model/amazon.titan-embed-text,2026-03-02T05:00:00Z,2026-03-02T06:00:00Z,40000,0.004,AmazonBedrock,0,8,user-dave
li-033,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/meta.llama3-70b-instruct,2026-03-02T02:00:00Z,2026-03-02T03:00:00Z,16000,0.024,AmazonBedrock,8000,10,user-frank
li-034,Anniversary,555555555555,arn:aws:bedrock:ap-southeast-1:555555555555:model/anthropic.claude-3-opus,2026-03-02T01:00:00Z,2026-03-02T02:00:00Z,2500,0.0375,AmazonBedrock,1200,2,user-hiro
li-035,Anniversary,111111111111,arn:aws:bedrock:us-east-1:111111111111:model/anthropic.claude-3-sonnet,2026-03-02T06:00:00Z,2026-03-02T07:00:00Z,5000,0.015,AmazonBedrock,2500,4,user-alice
li-017,Anniversary,444444444444,arn:aws:bedrock:us-east-1:444444444444:model/anthropic.claude-3-sonnet,2026-03-01T00:00:00Z,2026-03-01T01:00:00Z,7000,0.021,AmazonBedrock,3500,5,user-frank
li-024,Anniversary,555555555555,arn:aws:bedrock:ap-southeast-1:555555555555:model/meta.llama3-70b-instruct,2026-03-01T02:00:00Z,2026-03-01T03:00:00Z,20000,0.03,AmazonBedrock,10000,12,user-hiro
